,match_id,date,venue,city,team1,team2,toss_winner,toss_decision,winner,team1_player1,team2_player1,team1_player2,team2_player2,team1_player3,team2_player3,team1_player4,team2_player4,team1_player5,team2_player5,team1_player6,team2_player6,team1_player7,team2_player7,team1_player8,team2_player8,team1_player9,team2_player9,team1_player10,team2_player10,team1_player11,team2_player11,teams_sorted_key,match_stage
168.0,1944.0,2003-02-10,"goodyear park, bloemfontein",bloemfontein,sri lanka,new zealand,1.0,field,0.0,MS Atapattu,SP Fleming,ST Jayasuriya,NJ Astle,HP Tillakaratne,CD McMillan,DPMD Jayawardene,SB Styris,PA de Silva,CL Cairns,KC Sangakkara,L Vincent,RP Arnold,CZ Harris,WPUJC Vaas,JDP Oram,M Muralitharan,AR Adams,CRD Fernando,DR Tuffey,PW Gunaratne,SE Bond,new zealand||sri lanka,group
169.0,1945.0,2003-02-11,"new wanderers stadium, johannesburg",johannesburg,australia,pakistan,1.0,field,0.0,AC Gilchrist,Taufeeq Umar,ML Hayden,Shahid Afridi,RT Ponting,Saleem Elahi,DR Martyn,Inzamam-ul-Haq,JP Maher,Yousuf Youhana,A Symonds,Younis Khan,GB Hogg,Abdul Razzaq,IJ Harvey,Rashid Latif,B Lee,Wasim Akram,JN Gillespie,Waqar Younis,GD McGrath,Shoaib Akhtar,australia||pakistan,group
170.0,1946.0,2003-02-11,"kingsmead, durban",durban,canada,bangladesh,0.0,bat,0.0,I Maraj,Hannan Sarkar,JM Davison,Al Sahariar,DR Chumney,Habibul Bashar,IS Billcliff,Ehsanul Haque,JV Harris,Sanwar Hossain,NA de Groot,Alok Kapali,AF Sattaur,Khaled Mashud,A Bagai,Mohammad Rafique,S Thuraisingam,Tapash Baisya,A Codrington,Mashrafe Mortaza,D Joseph,Manjural Islam,bangladesh||canada,group
171.0,1947.0,2003-02-12,"north west cricket stadium, potchefstroom",potchefstroom,kenya,south africa,0.0,bat,1.0,KO Otieno,HH Gibbs,RD Shah,G Kirsten,BJ Patel,N Boje,SO Tikolo,HH Dippenaar,HS Modi,MV Boucher,MO Odumbe,JH Kallis,TM Odoyo,SM Pollock,CO Obuya,L Klusener,MA Suji,CK Langeveldt,PJ Ongondo,M Ntini,AY Karim,JN Rhodes,kenya||south africa,group
172.0,1948.0,2003-02-12,"boland bank park, paarl",paarl,india,netherlands,0.0,bat,0.0,SC Ganguly,JF Kloppenburg,SR Tendulkar,DLS van Bunge,V Sehwag,HJC Mol,R Dravid,B Zuiderent,Yuvraj Singh,TBM de Leede,M Kaif,LP van Troost,D Mongia,RH Scholte,Harbhajan Singh,RP Lefebvre,A Kumble,E Schiferli,Z Khan,J Smits,J Srinath,Adeel Raja,india||netherlands,group
173.0,1949.0,2003-02-13,"st george's park, port elizabeth",gqeberha,new zealand,west indies,1.0,field,0.0,SP Fleming,CH Gayle,DL Vettori,WW Hinds,NJ Astle,BC Lara,SB Styris,S Chanderpaul,CL Cairns,CL Hooper,L Vincent,RR Sarwan,CZ Harris,RL Powell,BB McCullum,RD Jacobs,AR Adams,VC Drakes,JDP Oram,NAM McLean,SE Bond,M Dillon,new zealand||west indies,group
174.0,1951.0,2003-02-15,"supersport park, centurion",centurion,india,australia,0.0,bat,1.0,SC Ganguly,AC Gilchrist,SR Tendulkar,ML Hayden,V Sehwag,RT Ponting,R Dravid,DR Martyn,Yuvraj Singh,DS Lehmann,M Kaif,MG Bevan,D Mongia,A Symonds,A Kumble,GB Hogg,Harbhajan Singh,B Lee,Z Khan,GD McGrath,J Srinath,JN Gillespie,australia||india,group
175.0,1952.0,2003-02-15,"newlands, cape town",cape town,canada,kenya,0.0,bat,1.0,I Maraj,KO Otieno,JM Davison,RD Shah,DR Chumney,SO Tikolo,IS Billcliff,HS Modi,JV Harris,MO Odumbe,AF Sattaur,TM Odoyo,NA de Groot,PJ Ongondo,A Bagai,DO Obuya,S Thuraisingam,CO Obuya,A Codrington,MA Suji,D Joseph,AO Suji,canada||kenya,group
176.0,1953.0,2003-02-16,"buffalo park, east london",east london,netherlands,england,1.0,field,1.0,LP van Troost,ME Trescothick,DLS van Bunge,NV Knight,NA Statham,MP Vaughan,B Zuiderent,A Flintoff,KJJ van Noortwijk,ID Blackwell,TBM de Leede,PD Collingwood,JF Kloppenburg,N Hussain,E Schiferli,C White,RP Lefebvre,AJ Stewart,Adeel Raja,AR Caddick,J Smits,JM Anderson,england||netherlands,group
177.0,1954.0,2003-02-16,"de beers diamond oval, kimberley",kimberley,pakistan,namibia,0.0,bat,0.0,Saeed Anwar,R Walters,Saleem Elahi,SJ Swanepoel,Younis Khan,AJ Burger,Inzamam-ul-Haq,D Keulder,Yousuf Youhana,GB Murgatroyd,Rashid Latif,LJ Burger,Wasim Akram,DB Kotze,Abdul Razzaq,G Snyman,Waqar Younis,M van Schoor,Saqlain Mushtaq,BL Kotze,Shoaib Akhtar,RJ van Vuuren,namibia||pakistan,group
