pressure_decile,runs_off_bat
0,0.9975164920450136
1,0.8293462167848515
2,0.8486612339930152
3,0.7790851710434037
4,0.7385702088022976
5,0.7142745831385383
6,0.6335640407496695
7,0.7576794463022007
8,0.8809156775088639
9,0.8499686126804771
