covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
avg_pressure,0.07546111060131316,1.0783812893026807,0.015178366895043711,0.04571205814289245,0.10521016305973388,1.046772957809089,1.1109440652269924,0.0,4.97162251532831,6.639488582583082e-07,20.52242454429391
avg_wickets_lost,0.22499831074861115,1.2523206007057635,0.012712016715796812,0.20008321581477825,0.24991340568244405,1.2215044024150086,1.2839142321971009,0.0,17.69965504128177,4.2188338126497725e-70,230.45812238375655
avg_balls_bowled,-0.007742880898801054,0.992287017985905,0.0003906455290933111,-0.008508532066545537,-0.006977229731056571,0.9915275630477273,0.9930470546243042,0.0,-19.820733432614198,1.9721353175879808e-87,288.02798570991706
