batter,batter_random_intercept
JE Taylor,0.0
JEC Franklin,0.0
JF Kloppenburg,0.0
JF Mooney,0.0
JH Davey,0.0
JH Kallis,-0.0012002001184582708
JJ Bumrah,0.0
JJ Esmeijer,0.0
JJ Krejza,0.0
JJ Roy,0.0
JJ Tucker,0.0
JK Kamande,0.0
JL Carter,0.0
JM Anderson,0.0
JM Bairstow,0.0
JM Davison,0.0
JM How,0.0
JM Kemp,0.0
JM Vince,0.0
JN Gillespie,0.0
JN Rhodes,-0.06039311987933069
JO Holder,0.0
JO Ngoche,0.0
JP Behrendorff,0.0
JP Bray,0.0
JP Duminy,0.0
JP Faulkner,0.0
JP Inglis,0.0
JP Maher,0.0
JR Hazlewood,0.0
JS Patel,0.0
JV Harris,0.0
JWA Taylor,0.0
JWM Dalrymple,0.0
Javed Omar,0.0
Junaid Siddique,0.0
K Rabada,0.0
K Whatham,0.0
KA Edwards,0.0
KA Maharaj,0.0
KA Pollard,0.0
KAD Hurdle,0.0
KAJ Roach,0.0
KC Sangakkara,0.0
KD Karthik,0.0
KED Carroll,0.0
KIC Asalanka,0.0
KJ Abbott,0.0
KJ Coetzer,0.0
KJ O'Brien,0.0
KJJ van Noortwijk,0.0
KL Rahul,0.0
KM Jadhav,0.0
KMDN Kulasekara,0.0
KO Otieno,0.0
KP Pietersen,0.0
KS Williamson,0.0
KT Sandher,0.0
KW Richardson,0.0
Kamran Akmal,0.0
Kamran Shazad,0.0
Khaled Mahmud,0.0
Khaled Mashud,0.0
Khurram Chohan,0.0
Khurram Khan,0.0
Krishna Chandran,0.0
Kuldeep Yadav,0.0
L Klusener,0.3148773512124471
L Ngidi,0.0
L Ronchi,0.0
L Vincent,0.0
LE Plunkett,0.0
LH Ferguson,0.0
LJ Burger,0.0
LJ Woodcock,0.0
LJ Wright,0.0
LMP Simmons,0.0
LN Onyango,0.0
LOB Cann,0.0
LP van Troost,0.0
LPC Silva,0.0
LRPL Taylor,0.0
LS Livingstone,0.0
LV van Beek,0.0
Liton Das,0.0
M Dillon,0.0
M Jansen,0.0
M Kaif,0.0
M Karg,0.0
M Labuschagne,0.0
M Morkel,0.0
M Muralitharan,0.0
M Ntini,0.0
M Pathirana,0.0
M Theekshana,0.0
M Zondeki,0.0
M van Schoor,0.0
MA Leask,0.0
MA Ouma,0.0
MA Starc,0.0
MA Suji,0.0
MA Vermeulen,0.0
MA Wood,0.0
MADI Hemantha,0.0
MBS Jonkman,0.0
MC Sorensen,0.0
MD Shanaka,0.0
MDKJ Perera,0.0
ME Trescothick,0.0
MEK Hussey,0.0
MF Maharoof,0.0
MG Bevan,0.0
MG Johnson,0.0
MH Cross,0.0
MH Yardy,0.0
MJ Clarke,0.0
MJ Guptill,0.0
MJ Henry,0.0
MJ Mason,0.0
MJ Prior,0.0
MJ Santner,0.0
ML Hayden,0.0
MM Ali,0.0
MM Patel,0.0
MN Samuels,0.0
MN van Wyk,0.0
MO Jones,0.0
MO Odumbe,0.0
MP O'Dowd,0.0
MP Stoinis,0.0
MP Vaughan,0.0
MR Gillespie,0.0
MR Marsh,0.0
MS Atapattu,0.0
MS Chapman,0.0
MS Dhoni,0.0
MS Panesar,0.0
MV Boucher,0.14839287983584176
MW Machan,0.0
Mahedi Hasan,0.0
Mahmudullah,0.0
Manjural Islam,0.0
Mashrafe Mortaza,0.0
Mehedi Hasan Miraz,0.0
Misbah-ul-Haq,0.0
Mohammad Amir,0.0
Mohammad Ashraful,0.0
Mohammad Hafeez,0.0
Mohammad Irfan,0.0
Mohammad Mithun,0.0
Mohammad Naveed,0.0
Mohammad Nawaz,0.0
Mohammad Rafique,0.0
Mohammad Rizwan,0.0
Mohammad Saifuddin,0.0
Mohammad Sami,0.0
Mohammad Tauqir,0.0
Mohammad Wasim,0.0
