batter,balls_faced,avg_residual,actual_rpb,expected_rpb,weight,final_score
GJ Maxwell,229,0.4405521590212661,1.48471615720524,1.044163998183974,5.43372200355424,2.39383796018718
H Klaasen,216,0.4018130409059367,1.3564814814814814,0.9546684405755448,5.375278407684165,2.159856962707596
R Ravindra,148,0.42275786973029844,1.0743243243243243,0.6515664545940258,4.997212273764115,2.112610815446618
KJ Coetzer,169,0.3842667499437807,1.0887573964497042,0.7044906465059234,5.1298987149230735,1.9712495067242666
Fakhar Zaman,147,0.39406424061107787,0.9523809523809523,0.5583167117698745,4.990432586778736,1.9665510276297395
AB de Villiers,440,0.32078958263102103,1.2,0.879210417368979,6.0867747269123065,1.9525739242152458
AT Nidamanuru,172,0.36051955662865187,0.9534883720930233,0.5929688154643714,5.147494476813453,1.8557724265292204
Abdullah Shafique,131,0.3743629350920324,1.015267175572519,0.6409042404804868,4.875197323201151,1.8250931790664027
KA Pollard,136,0.34145582389141427,1.3602941176470589,1.0188382937556444,4.912654885736052,1.6774546215031854
DA Miller,620,0.2602813132736179,1.1290322580645162,0.8687509447908982,6.429719478039138,1.6735358297249878
GD Phillips,182,0.3135024181655933,1.1758241758241759,0.8623217576585824,5.204006687076795,1.6314686805484935
BRM Taylor,526,0.2602255579029,0.9543726235741445,0.6941470656712445,6.26530121273771,1.6303915035143863
SC Williams,470,0.26455605855095726,1.0021276595744681,0.7375716010235108,6.152732694704104,1.627742711028528
AD Russell,121,0.3328999359982185,1.2479338842975207,0.9150339482993022,4.795790545596741,1.5965183656900166
DJ Mitchell,383,0.24528420365042342,1.0574412532637076,0.8121570496132842,5.948034989180646,1.4589590256060296
Shahid Afridi,130,0.29916291757207936,1.2153846153846153,0.9162216978125359,4.867534450455582,1.4561858075809
Shaiman Anwar,342,0.2383611252784849,0.8888888888888888,0.650527763610404,5.834810737062605,1.3907920530732285
Mohammad Rizwan,228,0.2500419419710352,1.030701754385965,0.7806598124149297,5.429345628954441,1.35756412469572
MV Boucher,228,0.23711698435995052,1.1008771929824561,0.8637602086225056,5.429345628954441,1.2873900625855559
SA Edwards,301,0.22177730191269207,0.8604651162790697,0.6386878143663777,5.707110264748875,1.2657075162342353
Sohaib Maqsood,127,0.25228524237320216,0.952755905511811,0.7004706631386088,4.844187086458591,1.2221169132083416
HH Pandya,203,0.22736231180739128,1.1083743842364533,0.881012072429062,5.313205979041787,1.2080227945037945
SR Watson,199,0.22462538668003454,1.07035175879397,0.8457263721139354,5.293304824724492,1.1890106430690315
Q de Kock,224,0.2123505499261458,0.875,0.6626494500738541,5.4116460518550396,1.1491660151170733
S Dhawan,121,0.22110139290167963,0.9008264462809917,0.6797250533793121,4.795790545596741,1.0603559696961455
JO Holder,219,0.19141643275670864,1.0228310502283104,0.8314146174716018,5.389071729816501,1.0315568863914997
DA Warner,161,0.20266467513259928,0.9565217391304348,0.7538570639978355,5.081404364984463,1.0298211648469482
DL Hemp,127,0.20672891116422581,0.7086614173228346,0.5019325061586088,4.844187086458591,1.001433521859388
C de Grandhomme,165,0.19203980382437932,1.0545454545454545,0.8625056507210752,5.10594547390058,0.9805447671458449
SS Iyer,115,0.2048841089708301,1.4434782608695653,1.2385941518987351,4.74493212836325,0.9721611912467689
H Masakadza,114,0.20300445758157182,0.8947368421052632,0.6917323845236913,4.736198448394496,0.9614693970150067
PA de Silva,214,0.16806266063151723,0.8691588785046729,0.7010962178731556,5.365976015021851,0.9018202059694785
PW Borren,215,0.1671252928860003,0.9116279069767442,0.7445026140907439,5.3706380281276624,0.8975694534355267
Amjad Javed,196,0.16671237729523183,0.826530612244898,0.6598182349496662,5.278114659230517,0.8799270424771319
SB Styris,738,0.13304750358527173,0.9281842818428184,0.7951367782575467,6.6039438246004725,0.8786382396804645
HH Streak,170,0.1682475875234657,0.9764705882352941,0.8082230007118284,5.135798437050262,0.8640856970404923
Liton Das,231,0.15874559877233946,0.8008658008658008,0.6421202020934614,5.442417710521793,0.8639598582259669
GD Elliott,110,0.18351734891607024,1.2818181818181817,1.0983008329021116,4.700480365792417,0.8626196953622643
N Pooran,274,0.15102316256286447,0.864963503649635,0.7139403410867706,5.6131281063880705,0.8477123584972291
MO Odumbe,190,0.16077083356686744,0.9578947368421052,0.7971239032752377,5.247024072160486,0.8435684338266606
V Sehwag,217,0.1505498376412486,0.8755760368663594,0.7250261992251109,5.37989735354046,0.8099426731020992
KC Sangakkara,664,0.12350788459917983,0.9533132530120482,0.8298053684128683,6.498282149476434,0.8025890818104456
RD Shah,359,0.1348445436275976,0.6406685236768802,0.5058239800492826,5.883322388488279,0.7933339224897293
ML Hayden,113,0.16669266381363892,0.9469026548672567,0.7802099910536177,4.727387818712341,0.788020868381308
E Chigumbura,183,0.14761102931302206,0.9398907103825137,0.7922796810694915,5.209486152841421,0.7689776132128575
RN ten Doeschate,382,0.12844072399291653,0.8612565445026178,0.7328158205097012,5.945420608606575,0.763634127411835
CJ Anderson,125,0.15475598590960452,1.304,1.1492440140903954,4.8283137373023015,0.7472104526971048
RG Sharma,463,0.12029940628367555,0.755939524838013,0.6356401185543374,6.137727054086234,0.738364920537827
Aftab Ahmed,119,0.15116623370185803,0.7563025210084033,0.6051362873065453,4.77912349311153,0.7224420988497375
BC Lara,429,0.11726204399193597,0.8018648018648019,0.6846027578728658,6.061456918928017,0.7107788278825619
Mohammad Hafeez,222,0.13015071449978818,0.9369369369369369,0.8067862224371487,5.402677381872279,0.7031623214625221
Wahab Riaz,144,0.13796167392920225,1.0,0.8620383260707977,4.969813299576001,0.685643761925117
LMP Simmons,190,0.1304583224783269,0.9,0.7695416775216731,5.247024072160486,0.6845179584574567
JC Buttler,226,0.12609253897512734,1.1858407079646018,1.0597481689894745,5.420534999272286,0.6834890206617826
SO Hetmyer,158,0.1346936274783725,0.8734177215189873,0.7387240940406149,5.062595033026967,0.6818992894523932
AK Markram,251,0.12284112322096051,0.9840637450199203,0.8612226217989598,5.5254529391317835,0.6787528453475058
DJG Sammy,198,0.12563239137345683,0.9343434343434344,0.8087110429699776,5.288267030694535,0.6643776332875643
F du Plessis,503,0.1058807593204667,0.8986083499005965,0.7927275905801298,6.220590170099739,0.6586408106315915
ST Jayasuriya,243,0.11889676244909754,0.7777777777777778,0.6588810153286803,5.493061443340548,0.6531072215471581
M Jansen,147,0.12898803911956114,1.0680272108843538,0.9390391717647927,4.990432586778736,0.6437061137269483
KJ O'Brien,503,0.10270693780869224,0.9244532803180915,0.8217463425093993,6.220590170099739,0.6388977677337961
RR Pant,129,0.12459981276145549,0.8449612403100775,0.720361427548622,4.859812404361672,0.6055317156392631
AJ Bichel,138,0.12287134824994192,0.8405797101449275,0.7177083618949857,4.927253685157205,0.6054183034647607
Mohammad Ashraful,374,0.10044532434303427,0.7299465240641712,0.6295011997211368,5.924255797414532,0.5950637950624038
CR Brathwaite,143,0.11301441532856003,0.9790209790209791,0.866006563692419,4.962844630259907,0.5608729842553071
AT Carey,364,0.0949118887048011,1.0027472527472527,0.9078353640424517,5.8971538676367405,0.5597100115602257
CN Ackermann,159,0.1098702242871183,0.6855345911949685,0.5756643669078503,5.0689042022202315,0.5569216415878533
Khurram Khan,163,0.10803572928542275,0.7116564417177914,0.6036207124323687,5.093750200806762,0.5503070177419271
CJO Smith,130,0.0995227356870936,0.6538461538461539,0.5543234181590603,4.867534450455582,0.4844303445605133
CR Ervine,247,0.0836515492187538,0.9109311740890689,0.827279624870315,5.5093883366279774,0.4608688696066634
HE van der Dussen,444,0.07419321976066076,0.8468468468468469,0.772653627086186,6.095824562432225,0.4522688513829678
HH Gibbs,299,0.07429505152239828,0.8929765886287625,0.8186815371063643,5.700443573390687,0.4235147489855852
