Feature,VIF
const,272.92054543428526
pi_composite_1to10_learnedcurve,2.4199954164757527
balls_bowled,4.1916401884282415
phase_Middle,4.644764074702064
phase_Powerplay,8.462727806807667
phase_Unknown,1.023133225359414
inning_2.0,1.0100087509845663
match_stage_final,4.571031772891883
match_stage_group,37.46469211616316
match_stage_quarter_final,5.227235666316077
match_stage_semi_final,10.812957539589775
match_stage_super_eight,19.539985175160766
match_stage_super_six,8.673824942697062
