batter,balls_faced,avg_residual,actual_rpb,expected_rpb,weight,final_score
GJ Maxwell,229,0.4405521590212661,1.48471615720524,1.044163998183974,5.43372200355424,2.39383796018718
H Klaasen,216,0.4018130409059367,1.3564814814814814,0.9546684405755448,5.375278407684165,2.159856962707596
R Ravindra,148,0.42275786973029844,1.0743243243243243,0.6515664545940258,4.997212273764115,2.112610815446618
KJ Coetzer,169,0.3842667499437807,1.0887573964497042,0.7044906465059234,5.1298987149230735,1.9712495067242666
Fakhar Zaman,147,0.39406424061107787,0.9523809523809523,0.5583167117698745,4.990432586778736,1.9665510276297395
AB de Villiers,440,0.32078958263102103,1.2,0.879210417368979,6.0867747269123065,1.9525739242152458
AT Nidamanuru,172,0.36051955662865187,0.9534883720930233,0.5929688154643714,5.147494476813453,1.8557724265292204
Abdullah Shafique,131,0.3743629350920324,1.015267175572519,0.6409042404804868,4.875197323201151,1.8250931790664027
KA Pollard,136,0.34145582389141427,1.3602941176470589,1.0188382937556444,4.912654885736052,1.6774546215031854
DA Miller,620,0.2602813132736179,1.1290322580645162,0.8687509447908982,6.429719478039138,1.6735358297249878
